,Socio-economic Disadvantage,Socio-economic Disadvantage,Socio-economic Disadvantage,Socio-economic Disadvantage,Socio-economic Disadvantage,Socio-economic Disadvantage,Socio-economic Disadvantage,Socio-economic Disadvantage,Socio-economic Advantage/Disadvantage,Socio-economic Advantage/Disadvantage,Socio-economic Advantage/Disadvantage,Socio-economic Advantage/Disadvantage,Socio-economic Advantage/Disadvantage,Socio-economic Advantage/Disadvantage,Socio-economic Advantage/Disadvantage,Socio-economic Advantage/Disadvantage,Economic Resources,Economic Resources,Economic Resources,Economic Resources,Economic Resources,Economic Resources,Economic Resources,Economic Resources,Education and Occupation,Education and Occupation,Education and Occupation,Education and Occupation,Education and Occupation,Education and Occupation,Education and Occupation,Education and Occupation,Male Mental Health Rate (0-34),Male Mental Health Rate (0-34),Male Mental Health Rate (0-34),Male Mental Health Rate (0-34),Male Mental Health Rate (0-34),Male Mental Health Rate (0-34),Male Mental Health Rate (0-34),Male Mental Health Rate (0-34),Male Mental Health Rate (>35),Male Mental Health Rate (>35),Male Mental Health Rate (>35),Male Mental Health Rate (>35),Male Mental Health Rate (>35),Male Mental Health Rate (>35),Male Mental Health Rate (>35),Male Mental Health Rate (>35),Female Mental Health Rate (0-34),Female Mental Health Rate (0-34),Female Mental Health Rate (0-34),Female Mental Health Rate (0-34),Female Mental Health Rate (0-34),Female Mental Health Rate (0-34),Female Mental Health Rate (0-34),Female Mental Health Rate (0-34),Female Mental Health Rate (>35),Female Mental Health Rate (>35),Female Mental Health Rate (>35),Female Mental Health Rate (>35),Female Mental Health Rate (>35),Female Mental Health Rate (>35),Female Mental Health Rate (>35),Female Mental Health Rate (>35),Domestic Violence Assault,Domestic Violence Assault,Domestic Violence Assault,Domestic Violence Assault,Domestic Violence Assault,Domestic Violence Assault,Domestic Violence Assault,Domestic Violence Assault,Non-domestic Violence Assault,Non-domestic Violence Assault,Non-domestic Violence Assault,Non-domestic Violence Assault,Non-domestic Violence Assault,Non-domestic Violence Assault,Non-domestic Violence Assault,Non-domestic Violence Assault,Assault on Police,Assault on Police,Assault on Police,Assault on Police,Assault on Police,Assault on Police,Assault on Police,Assault on Police,Sexual Assault,Sexual Assault,Sexual Assault,Sexual Assault,Sexual Assault,Sexual Assault,Sexual Assault,Sexual Assault,Sexual Offences,Sexual Offences,Sexual Offences,Sexual Offences,Sexual Offences,Sexual Offences,Sexual Offences,Sexual Offences,Stalking and Harassment,Stalking and Harassment,Stalking and Harassment,Stalking and Harassment,Stalking and Harassment,Stalking and Harassment,Stalking and Harassment,Stalking and Harassment,OLG Group,OLG Group,OLG Group,OLG Group,OLG Group,OLG Group,OLG Group,OLG Group
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Council Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Rural,42.0,961.0238095238095,34.493893482362786,888.0,934.75,961.0,977.25,1065.0,42.0,936.7857142857143,31.880520632806725,891.0,915.0,935.0,948.75,1062.0,42.0,979.4285714285714,35.000447981204715,899.0,953.25,976.5,996.5,1094.0,42.0,928.9761904761905,31.621610467340208,862.0,908.0,927.0,940.75,1047.0,42.0,0.05422518655078638,0.012438499173601033,0.02480916030534351,0.04877126745957157,0.05462501751279552,0.06315754692043352,0.07790663098424026,42.0,0.0852965479093292,0.013113695375592524,0.06221330275229358,0.07513329413970712,0.08657541701097818,0.09421979383868034,0.11236125893264406,42.0,0.08952686109906915,0.016128719106085262,0.05810684161199625,0.07757168287424931,0.08869020285242873,0.10206012316081417,0.1188781917120134,42.0,0.11758461125069689,0.01496454316563144,0.08338762214983714,0.10664740578936727,0.11928289493506886,0.1263227356209188,0.14790139906728847,42.0,0.006469142712499532,0.004610446037013136,0.001526896875734085,0.003073130441625483,0.005649008842846297,0.008043265494439112,0.025128498001142203,42.0,0.00495240225213727,0.0029056140445046265,0.0009396288466055908,0.0033010477439813115,0.00442932846695112,0.005853395556533372,0.01513606775939142,42.0,0.000337468167135235,0.0004402507131163512,0.0,7.597230792850749e-05,0.0001697441362758394,0.0004347613709097766,0.0021959062034350245,42.0,0.0016116188190353532,0.0005753456269814671,0.0006365372374283895,0.001069715983600159,0.0017068316543540853,0.002031866125566176,0.00266514372739387,42.0,0.0014799907533584926,0.0006352918321432474,0.0003472021295063943,0.0010410230019523357,0.0014338845085924165,0.0019486043278594946,0.00266514372739387,42.0,0.008895373463697958,0.005470281940184253,0.0014094432699083862,0.005040683759186405,0.008210056249906844,0.011242570551177437,0.03083952027412907,42.0,10.452380952380953,0.5037605389507488,10.0,10.0,10.0,11.0,11.0
Metropolitan,25.0,1032.76,76.4282234081974,814.0,1004.0,1057.0,1092.0,1110.0,25.0,1085.92,78.77283795827087,885.0,1048.0,1113.0,1156.0,1176.0,25.0,1005.52,57.275736573177305,887.0,966.0,999.0,1043.0,1117.0,25.0,1100.96,77.10624704479744,919.0,1060.0,1120.0,1163.0,1193.0,25.0,0.03671456410354117,0.012129044951814872,0.019417475728155338,0.028677065280184863,0.03584648353789207,0.03993515479814954,0.07603144402163028,25.0,0.05480927967698536,0.010944819093584973,0.039147040101845956,0.04847809430939611,0.05387381118070053,0.05763186556713863,0.08644508553086018,25.0,0.0655822397988894,0.023933717604659777,0.031109880027006907,0.04902446271169655,0.0660917581293885,0.07663830616353835,0.13957545083779666,25.0,0.074658698115819,0.012876536102304688,0.05702193729339878,0.06778124685265384,0.07332184282852751,0.07841284837033538,0.11457388939256573,25.0,0.0026122552258031036,0.0012971371510364402,0.0008824879099156342,0.0012537797772697102,0.002719715745838177,0.0035790939811854963,0.0053909510655886445,25.0,0.002449297770727192,0.0017162359974535492,0.0005722299235952159,0.0016098622189992748,0.0021212594944556152,0.0027972207705422238,0.009592122174340365,25.0,0.00024097528944762254,0.0002957478230571766,0.0,8.70195794053662e-05,0.00018515334664674063,0.0002590238637726346,0.0015026083012020866,25.0,0.0006350915392750267,0.00025969446707600985,0.0002631982979843397,0.00045641259698767686,0.0005606547768211723,0.0007603190057871764,0.0014600816511680652,25.0,0.0006687157301689084,0.0002358736477444309,0.00022820629849383843,0.0005023289798155083,0.0006280221883204045,0.0007876686103118949,0.0013939290844484766,25.0,0.0032649132928015186,0.0014882702911737113,0.001321770527741062,0.00201845767406394,0.0029946018361637575,0.0039808514036201595,0.00688459212217434,25.0,2.68,0.5567764362830022,1.0,2.0,3.0,3.0,3.0
Metropolitan Fringe,9.0,1030.2222222222222,47.06319628376769,947.0,994.0,1041.0,1048.0,1098.0,9.0,1031.4444444444443,62.17939994707071,952.0,981.0,1020.0,1050.0,1136.0,9.0,1055.6666666666667,49.72423956180728,981.0,1015.0,1056.0,1093.0,1132.0,9.0,1010.2222222222222,69.88343469266836,949.0,960.0,969.0,1063.0,1121.0,9.0,0.05523735551189137,0.015073938819516743,0.03539041064037576,0.047579723033921995,0.05184037194885703,0.05903846153846154,0.08184281842818428,9.0,0.07511210863621896,0.018075316163329642,0.043348628293740685,0.06824127363779056,0.07427882911616698,0.08383233532934131,0.09877879785206999,9.0,0.09055690482590932,0.022219261007776003,0.05821100585725649,0.07433163700002303,0.08959490362626593,0.0965919753781481,0.12663445139283683,9.0,0.10995931499814281,0.026102222893027886,0.06263456293957227,0.10802101576182137,0.11146030652660582,0.12806897639451134,0.13917663697870877,9.0,0.003318439139340052,0.001362419381571494,0.001580913109063243,0.0026881376326467915,0.0027906976744186047,0.0042008563284054055,0.005342201122825305,9.0,0.0024675212572244217,0.0012703080531554273,0.0010737034865721193,0.001313348204048448,0.002201712727691658,0.003450053535313479,0.004346148191708321,9.0,0.00023520789436343387,0.0001668148114855017,6.704378797402053e-05,9.265951335223588e-05,0.0002304117970840107,0.00036353564380431396,0.0005098601283714501,9.0,0.0008615413715671932,0.0003070162779224558,0.0005112088833019065,0.0005680752152431779,0.0007588495246030919,0.0010980226403998824,0.0013531604519382797,9.0,0.0009117809105870305,0.00030716668890628585,0.000437782734682816,0.0007123402472239682,0.0009820405612510602,0.0011783434077917959,0.0012404439870626286,9.0,0.004639159531440905,0.0016921004849770526,0.0018048757995138692,0.0036322529234076462,0.005273870022145134,0.005625456749698333,0.006762716847985887,9.0,6.777777777777778,0.4409585518440984,6.0,7.0,7.0,7.0,7.0
Regional Town/City,37.0,982.5675675675676,36.25798037868548,903.0,968.0,985.0,998.0,1070.0,37.0,961.081081081081,42.52932215828561,881.0,945.0,958.0,979.0,1062.0,37.0,991.2432432432432,30.184069938927692,919.0,976.0,988.0,1006.0,1062.0,37.0,950.8378378378378,48.90212078649982,871.0,920.0,946.0,972.0,1058.0,37.0,0.06904855815448799,0.011250315488623422,0.04343267934701213,0.06350618714563588,0.06773565996580794,0.07585853408508457,0.0871049596309112,37.0,0.09747732142719363,0.013606282341867776,0.06446650818067404,0.08986361534905224,0.09708419788140221,0.10688216892596454,0.11795655888833925,37.0,0.11395353915575736,0.018044949161392283,0.0722812755519215,0.10581410013873124,0.11572629051620648,0.12674451723155797,0.14921175529581754,37.0,0.13245618721289526,0.01723052934068155,0.09475043029259897,0.12685560053981107,0.13484166469241096,0.14263401573046244,0.1706876456876457,37.0,0.005357919494266342,0.0024315632504939753,0.0016468752708676433,0.0035878076935076278,0.004746039728438522,0.006803827892736174,0.013133954969297248,37.0,0.004620922232635855,0.0017300810240849641,0.0015168588021149346,0.0032921040940868387,0.004321724918280111,0.006061362380332662,0.008755969979531498,37.0,0.000414126264667197,0.0003536307892117624,0.00011057753064577277,0.00020601565718994644,0.00035400086533544857,0.0005056076484647913,0.002103707073004321,37.0,0.0015170383925138648,0.0004356941155393343,0.0007800988125162521,0.0012071046732195206,0.001505472596329902,0.001767392751394404,0.0025751957148743305,37.0,0.0013633031615023713,0.00042536215768280766,0.0006500823437635434,0.0010154158589495061,0.0013728796380757572,0.0016933105130912931,0.002411231672694746,37.0,0.006856276344504568,0.003038276994449009,0.002253618791713617,0.00452999628035496,0.006427583605732964,0.00862217623728229,0.01682965658403457,37.0,4.297297297297297,0.4633731916228157,4.0,4.0,4.0,5.0,5.0
Rural,15.0,941.1333333333333,54.82161547974963,818.0,938.5,961.0,974.5,992.0,15.0,931.4666666666667,32.08663866708978,866.0,919.5,948.0,951.5,970.0,15.0,953.4,59.637955316104815,789.0,948.5,973.0,988.5,1006.0,15.0,939.0666666666667,22.707666001553203,903.0,921.0,937.0,953.0,980.0,15.0,0.037717049933252846,0.015919912272024446,0.012307692307692308,0.02486804037191634,0.03345724907063197,0.05113597982481817,0.05950413223140496,15.0,0.07057694253545753,0.02384940281055603,0.027624309392265192,0.05740035183774071,0.06601941747572816,0.09469631384699503,0.10576164167324388,15.0,0.07199507897021212,0.021038897776853395,0.03353658536585366,0.05614657210401891,0.06968215158924206,0.09185019394451899,0.10256410256410256,15.0,0.0984498943755193,0.023317422629868766,0.05069124423963134,0.08470466699076325,0.10230692076228685,0.11227879670112012,0.15053763440860216,15.0,0.017409362626908842,0.02090965719354373,0.002280501710376283,0.0036638588964941032,0.00732728541521284,0.020312716726562006,0.06608695652173913,15.0,0.007196606012375902,0.00657867008299841,0.0008314855875831486,0.002714525721471894,0.004656577415599534,0.009820971867007672,0.022222222222222223,15.0,0.0005872571663786899,0.0008908277122589025,0.0,0.0,0.00029824038174768865,0.0007511725666201259,0.003418803418803419,15.0,0.0023255162935519576,0.0015564509400548135,0.0,0.0015375526528779635,0.0016578249336870027,0.0029889218433254193,0.00641025641025641,15.0,0.0019661295245602278,0.0012852581870144264,0.0004528985507246377,0.0009794778717333165,0.002081887578070784,0.0026992859883170307,0.004700854700854701,15.0,0.018280485407666316,0.019493688450593228,0.002717391304347826,0.006466207528280954,0.008952254641909815,0.02221653459305481,0.06710914454277286,15.0,8.933333333333334,0.2581988897471611,8.0,9.0,9.0,9.0,9.0
