LGA_NAME_2021,Index of Relative Socio-economic Disadvantage Score,Index of Relative Socio-economic Advantage and Disadvantage Score,Index of Economic Resources Score,Index of Education and Occupation Score,M_Mental_health_rate_0_34,M_Mental_health_rate_35_85_over,F_Mental_health_rate_0_34,F_Mental_health_rate_35_85_over,Domestic violence related assault,Non-domestic violence related assault,Assault Police,Sexual assault,"Sexual touching, sexual act and other sexual offences","Intimidation, stalking and harassment",OLG Group,Council Type
Temora,972,939,980,924,0.06493506493506493,0.0952914798206278,0.08039747064137308,0.118,0.002651640702684786,0.0018230029830957905,0.0,0.002651640702684786,0.0008286377195889957,0.003646005966191581,10,Large Rural
Tenterfield,920,903,935,925,0.06288659793814433,0.10736842105263159,0.09871668311944719,0.12963717896453322,0.009838472834067549,0.004405286343612335,0.0004405286343612335,0.0016152716593245229,0.0019089574155653451,0.01013215859030837,10,Large Rural
The Hills Shire,1098,1136,1132,1112,0.03539041064037576,0.043348628293740685,0.05821100585725649,0.06263456293957227,0.0017459192395088495,0.001313348204048448,6.77520898913882e-05,0.0005680752152431779,0.000437782734682816,0.0029498217598865934,7,Metropolitan Fringe
Tweed,989,967,995,960,0.0599383756758328,0.094295653348644,0.08618758474326475,0.11724466123371602,0.0037066699523574833,0.003028996221455561,0.0003285690816494168,0.0009651716773451619,0.0009446361097420733,0.0041071135206177094,5,Regional Town/City
Upper Hunter Shire,975,943,999,912,0.047325102880658436,0.0759493670886076,0.08217270194986072,0.11275894538606403,0.004708693513247593,0.002108370229812355,0.00028111603064164735,0.0024597652681144144,0.0018975332068311196,0.0049898095438892405,11,Large Rural
Upper Lachlan Shire,1022,995,1038,988,0.0488135593220339,0.07921486154924641,0.07520891364902507,0.11927927927927928,0.001526896875734085,0.0009396288466055908,0.0,0.0007047216349541931,0.0004698144233027954,0.0014094432699083862,10,Large Rural
Uralla,990,963,1002,977,0.05390334572490706,0.0978021978021978,0.10761154855643044,0.13587236232629954,0.0035169988276670576,0.002512142019762184,0.0,0.0010048568079048736,0.0005024284039524368,0.0036844749623178696,10,Large Rural
Wagga Wagga,989,971,988,970,0.06752450243521135,0.09363664309867814,0.11691437511282267,0.1310443806579819,0.006803827892736174,0.0055318078953985415,0.0009466195329024242,0.0016122113919744413,0.0017749116241920454,0.008046266029670606,4,Regional Town/City
Walcha,992,970,999,978,0.03165735567970205,0.06878850102669405,0.05436893203883495,0.09859154929577464,0.004973474801061008,0.0016578249336870027,0.0003315649867374005,0.0016578249336870027,0.001326259946949602,0.008952254641909815,9,Rural
Walgett,888,896,899,928,0.02480916030534351,0.07372986369268897,0.05810684161199625,0.08338762214983714,0.025128498001142203,0.01237388159147154,0.001332571863696935,0.00266514372739387,0.00266514372739387,0.03083952027412907,10,Large Rural
Warren,962,952,973,955,0.04609218436873747,0.0639686684073107,0.07100591715976332,0.07345360824742268,0.014901960784313726,0.008627450980392156,0.001176470588235294,0.001568627450980392,0.001176470588235294,0.01568627450980392,9,Rural
Warrumbungle Shire,927,914,952,929,0.05452366686638706,0.07590647238224331,0.07463630613535736,0.10802775024777007,0.005636856368563686,0.004986449864498645,0.00010840108401084011,0.0016260162601626016,0.001084010840108401,0.011382113821138212,10,Large Rural
Waverley,1092,1163,1009,1170,0.03338741887169246,0.05387381118070053,0.06688084112149532,0.07531311799604483,0.002769477443335034,0.003673201661686466,0.0003935573208949785,0.000859995627140879,0.0009183004154216165,0.0030901537788790906,3,Metropolitan
Weddin,961,942,978,951,0.05950413223140496,0.10311750599520383,0.08231173380035026,0.11528822055137844,0.0041574279379157425,0.0008314855875831486,0.0,0.0024944567627494456,0.0005543237250554324,0.0066518847006651885,9,Rural
Wentworth,974,949,989,941,0.03514376996805112,0.08268398268398268,0.07465753424657534,0.12734962406015038,0.010063061854286865,0.005769488796457802,0.0002683483161143164,0.0010733932644572655,0.0014759157386287402,0.00966053938011539,10,Large Rural
Willoughby,1075,1142,1034,1162,0.03539213229766976,0.04766798805853276,0.06379081664877155,0.06167137114019331,0.0012167219922500098,0.0016663801198206658,0.00018515334664674063,0.0005025590837554389,0.0007009376694483753,0.0019573353788369724,3,Metropolitan
Wingecarribee,1045,1031,1055,1020,0.055673834362358954,0.07870603015075377,0.09719082983532451,0.10608907061553763,0.0023335673224686485,0.0018023487449961106,0.00011383255231554384,0.0011572976152080289,0.0009675766946821226,0.003168339372782637,4,Regional Town/City
Wollondilly,1041,1020,1093,960,0.05184037194885703,0.07427882911616698,0.08959490362626593,0.11052057781411828,0.0027056577898852876,0.0015196160189766684,9.265951335223588e-05,0.0007042123014769926,0.0008524675228405701,0.0036322529234076462,6,Metropolitan Fringe
Wollongong,1000,1000,993,999,0.06350618714563588,0.08895443201452033,0.11818961818961819,0.12986283789203498,0.0030387203817975055,0.0032997147704181503,0.000382170354765944,0.0008761954475121642,0.0009134803601722563,0.0036446002125240023,5,Regional Town/City
Woollahra,1110,1176,1043,1193,0.03681630298952225,0.04831050856788934,0.0741608118657299,0.05978739648793093,0.0019066846119336026,0.001831912666367579,0.00011215791834903544,0.0009907282787498131,0.0006542545237027068,0.002579632122027815,2,Metropolitan
Yass Valley,1065,1062,1094,1047,0.06285551763367463,0.09045427256353812,0.11003804506877378,0.12495330593948449,0.002083212777038366,0.0016781436259475724,0.0001157340431687981,0.0006365372374283895,0.0003472021295063943,0.0026040159712979573,11,Large Rural
